Date,Ad Breaks (Minutes),Ad Time (Seconds) Per Hour,Average Viewers,Chat Messages,Chatters,Clip Views,Clips Created,Follows,Hosts and Raids Viewers (%),Live Views,Max Viewers,Minutes Watched,Minutes Streamed,Unique Viewers,Sub Revenue,Prime Revenue,Gifted Subs Revenue,Bits Revenue,Ad Revenue,Game Sales Revenue,Extensions Revenue,Bounties Revenue,Prime Subs,Total Paid Subs,Tier 1 subs,Tier 2 subs,Tier 3 subs,Total Gifted Subs,Gifted Tier 1 subs
Mon Oct 21 2019,0,0,4.29,179,13,1,1,0,0,32,10,630,147,20,0,0,0,0,0.013999999999999999,0,0,0,0,0,0,0,0,0,0
Tue Oct 22 2019,0,0,0,20,3,1,0,2,0,2,0,0,0,2,0,0,0,0,0.035,0,0,0,0,0,0,0,0,0,0
Wed Oct 23 2019,0,0,3.13,173,8,0,0,1,0,17,6,385,124,13,0,0,0,0,0.021,0,0,0,0,0,0,0,0,0,0
Thu Oct 24 2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fri Oct 25 2019,0,0,5.33,695,11,0,0,0,1.83,50,12,1145,216,28,0,0,0,0,0.027999999999999997,0,0,0,0,0,0,0,0,0,0
Sat Oct 26 2019,0,0,0,0,0,0,0,1,0,1,0,0,0,1,2.045,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Sun Oct 27 2019,0,0,6.36,607,21,0,0,5,0.34,78,13,2066,325,52,0,0,0,5,0.0735,0,0,0,0,0,0,0,0,0,0
Mon Oct 28 2019,0,0,6.04,285,14,0,0,1,0,38,12,1003,166,28,0,0,0,0,0.013999999999999999,0,0,0,0,0,0,0,0,0,0
Tue Oct 29 2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0034999999999999996,0,0,0,0,0,0,0,0,0,0
Wed Oct 30 2019,0,0,4.92,122,12,1,0,0,0.28,28,9,723,148,18,0,0,0,0,0.013999999999999999,0,0,0,0,0,0,0,0,0,0
Thu Oct 31 2019,0,0,4.84,217,13,0,2,2,4.61,38,9,716,149,26,0,0,2.33,0,0.055999999999999994,0,0.8,0,0,0,0,0,0,1,1
Fri Nov 01 2019,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sat Nov 02 2019,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Nov 03 2019,0,0,6.4,373,18,0,1,1,5.32,41,10,1241,199,30,0,0,0,1,0.0315,0,0.8,0,0,0,0,0,0,0,0
Mon Nov 04 2019,0,0,2.88,226,12,1,1,0,0,19,6,481,170,19,2.32,0,0,0,0.021,0,0,0,0,1,1,0,0,0,0
Tue Nov 05 2019,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wed Nov 06 2019,0,0,6.89,305,14,0,0,2,0.07,35,12,1372,200,25,2.38,0,0,0.25,0.027999999999999997,0,0,0,0,1,1,0,0,0,0
Thu Nov 07 2019,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fri Nov 08 2019,0,0,4.49,287,14,1,1,4,1.06,43,8,758,170,25,0,2.495,0,0,0.07,0,2,0,1,0,0,0,0,0,0
Sat Nov 09 2019,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0034999999999999996,0,0,0,0,0,0,0,0,0,0
Sun Nov 10 2019,0,0,6.54,724,26,0,0,2,0.79,107,16,2020,312,77,2.09,0,4.2,1.8,0.0805,0,0,0,0,1,1,0,0,2,2
Mon Nov 11 2019,0,0,6.24,419,12,0,0,2,0,39,10,1167,189,27,4.695,0,0,0.5,0.0385,0,0,0,0,2,2,0,0,0,0
Tue Nov 12 2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wed Nov 13 2019,0,0,6.15,339,14,2,2,2,0,38,11,1070,175,26,2.395,0,0,0.8,0.0315,0,0,0,0,1,1,0,0,0,0
Thu Nov 14 2019,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fri Nov 15 2019,0,0,4.56,241,14,0,3,1,0,37,9,848,187,22,0,0,2.33,1.25,0.0105,0,2.4,0,0,0,0,0,0,1,1
Sat Nov 16 2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Nov 17 2019,0,0,7.47,804,26,0,0,6,0,64,11,1360,183,38,0,0,2.415,1.25,0.035,0,0,0,0,0,0,0,0,1,1
Mon Nov 18 2019,0,0,6,191,11,0,0,1,0,25,10,816,137,22,2.32,0,0,1,0.013999999999999999,0,0,0,0,1,1,0,0,0,0
Tue Nov 19 2019,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wed Nov 20 2019,0,0,4.69,124,8,0,0,1,0.14,23,8,703,152,17,2.295,0,0,0.4,0.006999999999999999,0,0,0,0,1,1,0,0,0,0
Thu Nov 21 2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fri Nov 22 2019,0,0,4.46,216,14,0,1,1,0,40,9,878,198,29,0,0,0,0,0.0315,0,0.4,0,0,0,0,0,0,0,0
Sat Nov 23 2019,0,0,5.78,251,11,0,0,0,0.36,58,10,1386,240,31,0,0,0,4.65,0.0245,0,0,0,0,0,0,0,0,0,0
Sun Nov 24 2019,0,0,6.11,305,20,0,0,7,0.08,102,11,1276,214,54,0,0,2.1,1,0.098,0,0,0,0,0,0,0,0,1,1
Mon Nov 25 2019,0,0,5.2,150,9,0,1,0,0,25,8,837,162,17,0,0,0,0,0.013999999999999999,0,0,0,0,0,0,0,0,0,0
Tue Nov 26 2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.035,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Wed Nov 27 2019,0,0,5.97,304,11,0,0,7,3.21,58,12,1247,217,37,0,0,4.425,0,0.0455,0,0,0,0,0,0,0,0,2,2
Thu Nov 28 2019,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fri Nov 29 2019,0,0,9.55,347,17,0,0,5,0,75,14,1938,204,45,0,0,0,0,0.0525,0,0,0,0,0,0,0,0,0,0
Sat Nov 30 2019,0,0,7.38,330,22,0,0,6,4.63,86,15,1727,235,44,0,0,0,0,0.0805,0,0,0,0,0,0,0,0,0,0
Sun Dec 01 2019,0,0,6.9,311,20,1,0,4,1.03,62,16,1552,226,47,0,0,0,0,0.09449999999999999,0,0,0,0,0,0,0,0,0,0
